date,player,prop,line,actual,baseline_pred,edge,signal,win,pl,cum_pl
2023-02-03,Luka Doncic,rebounds,7.0,3.0696077418693983,5.413983446130132,-1.586016553869868,UNDER,1.0,0.9090909090909091,0.9090909090909091
2023-02-03,Joel Embiid,assists,6.5,2.941172935759968,4.433195573505353,-2.066804426494647,UNDER,1.0,0.9090909090909091,1.8181818181818181
2023-02-03,Shai Gilgeous-Alexander,points,24.0,22.616811665849163,14.725148105974167,-9.274851894025833,UNDER,1.0,0.9090909090909091,2.727272727272727
2023-02-03,Jayson Tatum,points,31.0,42.15355807017872,33.14723805806165,2.147238058061653,OVER,1.0,0.9090909090909091,3.6363636363636362
2023-02-03,Luka Doncic,points,26.0,15.861640889380125,17.01862689939109,-8.98137310060891,UNDER,1.0,0.9090909090909091,4.545454545454545
2023-02-03,Joel Embiid,points,21.0,20.64348271434185,23.835123032594925,2.8351230325949253,OVER,0.0,-1.0,3.545454545454545
2023-02-03,Nikola Jokic,assists,8.0,10.97936170343176,9.722257411888648,1.7222574118886484,OVER,1.0,0.9090909090909091,4.454545454545454
2023-02-03,Luka Doncic,assists,4.0,6.441025378575444,7.055159393308465,3.0551593933084646,OVER,1.0,0.9090909090909091,5.363636363636363
2023-02-03,Joel Embiid,rebounds,9.5,8.148882045210057,10.98884149684974,1.4888414968497408,OVER,0.0,-1.0,4.363636363636363
2023-02-03,Devin Booker,points,20.5,13.716788378696048,21.965306417915293,1.4653064179152935,OVER,0.0,-1.0,3.3636363636363633
2023-02-03,Devin Booker,assists,7.0,7.838437720708312,10.162899277254606,3.1628992772546063,OVER,1.0,0.9090909090909091,4.2727272727272725
2023-02-03,Kyrie Irving,assists,10.0,12.456526296762602,7.344365505934914,-2.655634494065086,UNDER,0.0,-1.0,3.2727272727272725
2023-02-03,Jayson Tatum,assists,8.0,9.27751400287378,9.233068858379497,1.2330688583794966,OVER,1.0,0.9090909090909091,4.181818181818182
2023-02-03,Nikola Jokic,points,28.5,25.82180009101352,22.348368455008345,-6.151631544991655,UNDER,1.0,0.9090909090909091,5.090909090909091
2023-02-03,LeBron James,assists,8.0,8.793273784376233,6.662840413542382,-1.3371595864576182,UNDER,0.0,-1.0,4.090909090909091
2023-02-03,Shai Gilgeous-Alexander,rebounds,11.0,11.789523974050937,8.067750173693334,-2.9322498263066663,UNDER,0.0,-1.0,3.090909090909091
2023-02-03,Kevin Durant,points,23.5,30.83656871537212,26.502456592353646,3.0024565923536457,OVER,1.0,0.9090909090909091,4.0
2023-02-03,Giannis Antetokounmpo,points,20.5,26.687888490187586,22.92586660279018,2.4258666027901796,OVER,1.0,0.9090909090909091,4.909090909090909
2023-02-03,Kyrie Irving,points,18.5,12.589969582312278,14.692520942855806,-3.807479057144194,UNDER,1.0,0.9090909090909091,5.818181818181818
2023-02-03,Nikola Jokic,rebounds,6.5,4.394748881347431,7.950815321137414,1.450815321137414,OVER,0.0,-1.0,4.818181818181818
2023-02-04,Kevin Durant,assists,5.5,4.052979735413768,7.2053277224873,1.7053277224872998,OVER,0.0,-1.0,3.8181818181818183
2023-02-04,LeBron James,rebounds,4.0,6.224318185316854,6.025942281493007,2.0259422814930073,OVER,1.0,0.9090909090909091,4.7272727272727275
2023-02-04,Stephen Curry,points,26.5,33.31325299238545,28.462378442265436,1.962378442265436,OVER,1.0,0.9090909090909091,5.636363636363637
2023-02-04,Joel Embiid,rebounds,11.5,10.888883305277597,10.45629418848632,-1.0437058115136804,UNDER,1.0,0.9090909090909091,6.545454545454546
2023-02-04,Nikola Jokic,assists,7.5,14.57236074089949,10.200488434566454,2.700488434566454,OVER,1.0,0.9090909090909091,7.454545454545455
